dbo:Organization;;;List all episodes of the first season of the HBO television series <B>. ; select  <A>  <B>  where { <a> Organization ?a. }; select distinct( ?a ?b) where {  ?a Organization [].  };
dbo:Person;;;Who created <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Person;;;Who played <A> in Breaking Bad? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:CreativeWork;;;In which programming language is <A> written? ; select  <A>  where { <a> CreativeWork ?a. }; select distinct( ?a) where {  ?a CreativeWork [].  };
dbo:CreativeWork;;;Who is the editor of <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Country;;;How many people live in the capital of <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Country;;;Which professional surfers were born in <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Place;;;Which electronics companies were founded in <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Organization;;;Give me all video games published by <A>. ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Organization;;;How many <A> stores are there? ; select  <A>  where { <a> Organization ?a. }; select distinct( ?a) where {  ?a Organization [].  };
dbo:Country;;;What is the capital of <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:CreativeWork;;;Is there a video game called <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Person;;;Was the wife of president <B> called Mary? ; select  <A>  <B>  where { <b> Person ?b. }; select distinct( ?a ?b) where {  ?b Person [].  };
dbo:Person;;;Which of <A>'s films had the highest budget? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Country;;;Was <B> born in the United States? ; select  <A>  <B>  where {}; select distinct( ?a ?b) where {  };
dbo:Person;;;Give me the grandchildren of <A>. ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Person;;;Which movies starring Mickey Rourke were directed by <B>? ; select  <A>  <B>  where {}; select distinct( ?a ?b) where {  };
dbo:Book;;;When did <A>'s creator die? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Person;;;Which country does the creator of <A> come from? ; select  <A>  where { <a> Person ?a. }; select distinct( ?a) where {  ?a Person [].  };
dbo:Person;;;What is <A>'s real name? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Country;;;What form of government does <A> have? ; select  <A>  where { <a> Country ?a. }; select distinct( ?a) where {  ?a Country [].  };
dbo:Organization;;;How many companies were founded by the founder of <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Person;;;How many children did <A> have? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Person;;;List the children of <A>. ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Person;;;Who is the oldest child of <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Person;;;Is Christian Bale starring in <B>? ; select  <A>  <B>  where {}; select distinct( ?a ?b) where {  };
dbo:BodyOfWater;;;Does the <A> flow into a lake? ; select  <A>  where { <a> BodyOfWater ?a. }; select distinct( ?a) where {  ?a BodyOfWater [].  };
dbo:Organization;;;Which airports does <A> serve? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Country;;;Which <A> company has the most employees? ; select  <A>  where { <a> Country ?a. }; select distinct( ?a) where {  ?a Country [].  };
dbo:generic;;;What <B> expresses loyalty? ; select  <A>  <B>  where { <b> generic ?b. }; select distinct( ?a ?b) where {  ?b generic [].  };
dbo:CreativeWork;;;Who created <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Person;;;Is Rita Wilson the wife of <B>? ; select  <A>  <B>  where {}; select distinct( ?a ?b) where {  };
dbo:Person;;;Is the wife of president Obama called <B>? ; select  <A>  <B>  where {}; select distinct( ?a ?b) where {  };
dbo:Country;;;How many ethnic groups live in <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Country;;;Who is the president of <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Organization;;;Who is the youngest player in the <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Country;;;What is the highest mountain in <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Person;;;How tall is <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Person;;;Who was John F. <A>'s vice president? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Airport;;;Which subsidiary of Lufthansa serves both <D> and Berlin Tegel? ; select  <A>  <B>  <C>  <D>  where { <b> Airport ?b.  <d> Airport ?d.  ?d ?c. }; select distinct( ?a ?b ?c ?d) where {  ?b Airport [].  ?d Airport [].  ?d ?c [].  };
dbo:Person;;;Who was the successor of John F. <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Person;;;Who composed the soundtrack for <A>'s Titanic? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:generic;;;For which label did Elvis record his first <B>? ; select  <A>  <B>  where { <a> generic ?a. }; select distinct( ?a ?b) where {  ?a generic [].  };
dbo:Place;;;In which time zone is <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Country;;;Give me the currency of <A>. ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:CreativeWork;;;Who are the developers of <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Person;;;Does <A>'s death place have a website? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Country;;;Who is the king of the <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Person;;;In which city did <A> die? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Person;;;Who was the father of <B>? ; select  <A>  <B>  where {}; select distinct( ?a ?b) where {  };
dbo:Country;;;How many inhabitants does the largest city in <A> have? ; select  <A>  where { dbr:City ?a.  <a> Country ?a. }; select distinct( ?a) where {  dbr:City ?a [].  ?a Country [].  };
dbo:Person;;;In which military conflicts did <A> of Arabia participate? ; select  <A>  where { <a> Person ?a. }; select distinct( ?a) where {  ?a Person [].  };
dbo:generic;;;Which <A> has the most pages? ; select  <A>  where { <a> generic ?a. }; select distinct( ?a) where {  ?a generic [].  };
dbo:BodyOfWater;;;In which country does the <A> start? ; select  <A>  where { <a> BodyOfWater ?a. }; select distinct( ?a) where {  ?a BodyOfWater [].  };
dbo:Person;;;Did <A> have children? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Country;;;In which city was the president of <A> born? ; select  <A>  where { <a> Country ?a. }; select distinct( ?a) where {  ?a Country [].  };
dbo:Person;;;Which country was <A> born in? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Language;;;In which countries do people speak <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Person;;;Show me the book that <A> wrote. ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Person;;;Is Michelle Obama the wife of <B>? ; select  <A>  <B>  where {}; select distinct( ?a ?b) where {  };
dbo:City;;;What is the area code of <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:CreativeWork;;;Give me all actors starring in <A>. ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:City;;;What are the nicknames of <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:generic;;;What was the first Queen <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:BodyOfWater;;;Through which countries does the <A> flow? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Person;;;Which television shows were created by <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Person;;;Whom did <A> marry? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Country;;;What is the capital of <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Person;;;Who was <A> inspired by? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:City;;;Was U.S. president <A> involved in a war? ; select  <A>  where { <a> City ?a. }; select distinct( ?a) where {  ?a City [].  };
dbo:generic;;;Who wrote the Game of Thrones <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Place;;;Who designed the <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Person;;;When did <A> end his active career? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:AdministrativeArea;;;Which types of grapes grow in <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Person;;;How tall is <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Place;;;To which party does the mayor of <A> belong? ; select  <A>  where { dbr:Mayor ?a.  <a> Place ?a. }; select distinct( ?a) where {  dbr:Mayor ?a [].  ?a Place [].  };
dbo:Place;;;Who wrote the book The Pillars of the <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Country;;;Who was the 16th president of the <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Mountain;;;How high is the <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Person;;;Who was the doctoral supervisor of <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Person;;;In which city does <A> live? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Country;;;What is the currency of the <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Person;;;Did <B> influence Aristotle? ; select  <A>  <B>  where { <b> Person ?b. }; select distinct( ?a ?b) where {  ?b Person [].  };
dbo:Place;;;What is the time zone of <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Person;;;Who is the son of Sonny and <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Country;;;In which city are the headquarters of the <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Organization;;;Who is the founder of <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Book;;;When was <B> Wolfskin founded? ; select  <A>  <B>  where { <b> Book ?b.  <a> Book ?a. }; select distinct( ?a ?b) where {  ?b Book [].  ?a Book [].  };
dbo:Country;;;Give me all <A> oceanographers. ; select  <A>  where { <a> Country ?a. }; select distinct( ?a) where {  ?a Country [].  };
dbo:Person;;;Show me <A>'s autobiography. ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Person;;;Who are the parents of the wife of <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Person;;;Did <A> win a nobel prize in physics? ; select  <A>  where { <a> Person ?a. }; select distinct( ?a) where {  ?a Person [].  };
dbo:AdministrativeArea;;;Who were the parents of Queen <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Person;;;Did <A> have children? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:BodyOfWater;;;Is <B> bigger than the Great Bear Lake? ; select  <B>  <A>  where {}; select distinct( ?b ?a) where {  };
dbo:Person;;;Give me all books by <A> with more than 300 pages. ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Place;;;Where is <A> located? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Place;;;In which <B> state is Fort Knox located? ; select  <B>  <A>  where { <b> Place ?b. }; select distinct( ?b ?a) where {  ?b Place [].  };
dbo:Person;;;Where is <A> buried? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Organization;;;Which scientist is known for the <A> and the Nobel Peace Prize? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:AdministrativeArea;;;Give me all cities in <A> with more than 100000 inhabitants. ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:AdministrativeArea;;;Which museum in <A> has the most visitors? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Place;;;How high is the <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Country;;;Who was the pope that founded the <A> Television? ; select  <A>  where { <a> Country ?a. }; select distinct( ?a) where {  ?a Country [].  };
dbo:Person;;;Who composed the music for <A> and Maude? ; select  <A>  where { dbr:Music ?a.  <a> Person ?a. }; select distinct( ?a) where {  dbr:Music ?a [].  ?a Person [].  };
dbo:Person;;;Who is starring in <B> movies produced by Benicio del Toro? ; select  <A>  <B>  where { <b> Person ?b. }; select distinct( ?a ?b) where {  ?b Person [].  };
dbo:Organization;;;Which subsidiary of TUI Travel serves both <C> and Dublin? ; select  <A>  <B>  <C>  where { <c> Organization ?c. }; select distinct( ?a ?b ?c) where {  ?c Organization [].  };
dbo:Place;;;In which country is <A> located? ; select  <A>  where { <a> Place ?a. }; select distinct( ?a) where {  ?a Place [].  };
dbo:Country;;;How many languages are spoken in <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Country;;;What is the biggest stadium in <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Country;;;Which professional surfers were born on the <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:AdministrativeArea;;;What are the five boroughs of <A>? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Person;;;When did <A> die? ; select  <A>  where {}; select distinct( ?a) where {  };
dbo:Country;;;Where in <A> is sparkling wine produced? ; select  <A>  where { <a> Country ?a. }; select distinct( ?a) where {  ?a Country [].  };
